State,Type,County,Motivation,Crime Count,Year
Arizona,Cities,Holbrook,Gender,0,2015
Arizona,Cities,Holbrook,Gender Identity,0,2015
Arizona,Cities,Mesa,Race,2,2015
Arizona,Cities,Mesa,Religion,2,2015
Arizona,Cities,Mesa,Sexual orientation,0,2015
Arizona,Cities,Mesa,Disability,0,2015
Arizona,Cities,Mesa,Gender,0,2015
Arizona,Cities,Mesa,Gender Identity,0,2015
Arizona,Cities,Nogales,Race,0,2015
Arizona,Cities,Nogales,Religion,1,2015
Arizona,Cities,Nogales,Sexual orientation,0,2015
Arizona,Cities,Nogales,Disability,0,2015
Arizona,Cities,Nogales,Gender,0,2015
Arizona,Cities,Nogales,Gender Identity,0,2015
Arizona,Cities,Phoenix,Race,137,2015
Arizona,Cities,Phoenix,Religion,40,2015
Arizona,Cities,Phoenix,Sexual orientation,49,2015
Arizona,Cities,Phoenix,Disability,5,2015
Arizona,Cities,Phoenix,Gender,0,2015
Arizona,Cities,Phoenix,Gender Identity,0,2015
Arizona,Cities,Prescott,Race,1,2015
Arizona,Cities,Prescott,Religion,0,2015
Arizona,Cities,Prescott,Sexual orientation,0,2015
Arizona,Cities,Prescott,Disability,0,2015
Arizona,Cities,Prescott,Gender,0,2015
Arizona,Cities,Prescott,Gender Identity,0,2015
Arizona,Cities,Scottsdale,Race,1,2015
Arizona,Cities,Scottsdale,Religion,1,2015
Arizona,Cities,Scottsdale,Sexual orientation,1,2015
Arizona,Cities,Scottsdale,Disability,0,2015
Arizona,Cities,Scottsdale,Gender,0,2015
Arizona,Cities,Scottsdale,Gender Identity,0,2015
Arizona,Cities,Tucson,Race,1,2015
Arizona,Cities,Tucson,Religion,0,2015
Arizona,Cities,Tucson,Sexual orientation,3,2015
Arizona,Cities,Tucson,Disability,0,2015
Arizona,Cities,Tucson,Gender,0,2015
Arizona,Cities,Tucson,Gender Identity,0,2015
Arizona,Cities,Williams,Race,0,2015
Arizona,Cities,Williams,Religion,0,2015
Arizona,Cities,Williams,Sexual orientation,1,2015
Arizona,Cities,Williams,Disability,0,2015
Arizona,Cities,Williams,Gender,0,2015
Arizona,Cities,Williams,Gender Identity,0,2015
Arizona,Cities,Yuma,Race,3,2015
Arizona,Cities,Yuma,Religion,0,2015
Arizona,Cities,Yuma,Sexual orientation,1,2015
Arizona,Cities,Yuma,Disability,0,2015
Arizona,Cities,Yuma,Gender,0,2015
Arizona,Cities,Yuma,Gender Identity,0,2015
Arizona,Universities and Colleges,Total,Race,2,2015
Arizona,Universities and Colleges,Total,Religion,0,2015
Arizona,Universities and Colleges,Total,Sexual orientation,0,2015
Arizona,Universities and Colleges,Total,Disability,0,2015
Arizona,Universities and Colleges,Total,Gender,0,2015
Arizona,Universities and Colleges,Total,Gender Identity,0,2015
Arizona,Universities and Colleges,"Arizona State University, Main Campus",Race,2,2015
Arizona,Universities and Colleges,"Arizona State University, Main Campus",Religion,0,2015
Arizona,Universities and Colleges,"Arizona State University, Main Campus",Sexual orientation,0,2015
Arizona,Universities and Colleges,"Arizona State University, Main Campus",Disability,0,2015
Arizona,Universities and Colleges,"Arizona State University, Main Campus",Gender,0,2015
Arizona,Universities and Colleges,"Arizona State University, Main Campus",Gender Identity,0,2015
Arizona,Metropolitan Counties,Total,Race,3,2015
Arizona,Metropolitan Counties,Total,Religion,2,2015
Arizona,Metropolitan Counties,Total,Sexual orientation,0,2015
Arizona,Metropolitan Counties,Total,Disability,0,2015
Arizona,Metropolitan Counties,Total,Gender,0,2015
Arizona,Metropolitan Counties,Total,Gender Identity,0,2015
Arizona,Metropolitan Counties,Maricopa,Race,1,2015
Arizona,Metropolitan Counties,Maricopa,Religion,0,2015
Arizona,Metropolitan Counties,Maricopa,Sexual orientation,0,2015
Arizona,Metropolitan Counties,Maricopa,Disability,0,2015
Arizona,Metropolitan Counties,Maricopa,Gender,0,2015
Arizona,Metropolitan Counties,Maricopa,Gender Identity,0,2015
Arizona,Metropolitan Counties,Pima,Race,1,2015
Arizona,Metropolitan Counties,Pima,Religion,1,2015
Arizona,Metropolitan Counties,Pima,Sexual orientation,0,2015
Arizona,Metropolitan Counties,Pima,Disability,0,2015
Arizona,Metropolitan Counties,Pima,Gender,0,2015
Arizona,Metropolitan Counties,Pima,Gender Identity,0,2015
Arizona,Metropolitan Counties,Pinal,Race,1,2015
Arizona,Metropolitan Counties,Pinal,Religion,0,2015
Arizona,Metropolitan Counties,Pinal,Sexual orientation,0,2015
Arizona,Metropolitan Counties,Pinal,Disability,0,2015
Arizona,Metropolitan Counties,Pinal,Gender,0,2015
Arizona,Metropolitan Counties,Pinal,Gender Identity,0,2015
Arizona,Metropolitan Counties,Yavapai,Race,0,2015
Arizona,Metropolitan Counties,Yavapai,Religion,1,2015
Arizona,Metropolitan Counties,Yavapai,Sexual orientation,0,2015
Arizona,Metropolitan Counties,Yavapai,Disability,0,2015
Arizona,Metropolitan Counties,Yavapai,Gender,0,2015
Arizona,Metropolitan Counties,Yavapai,Gender Identity,0,2015
Arizona,Nonmetropolitan Counties,Total,Race,0,2015
Arizona,Nonmetropolitan Counties,Total,Religion,1,2015
Arizona,Nonmetropolitan Counties,Total,Sexual orientation,0,2015
Arizona,Nonmetropolitan Counties,Total,Disability,0,2015
Arizona,Nonmetropolitan Counties,Total,Gender,0,2015
Arizona,Nonmetropolitan Counties,Total,Gender Identity,0,2015
Arizona,Nonmetropolitan Counties,Graham,Race,0,2015
Arizona,Nonmetropolitan Counties,Graham,Religion,1,2015
Arizona,Nonmetropolitan Counties,Graham,Sexual orientation,0,2015
Arizona,Nonmetropolitan Counties,Graham,Disability,0,2015
Arizona,Nonmetropolitan Counties,Graham,Gender,0,2015
Arizona,Nonmetropolitan Counties,Graham,Gender Identity,0,2015
Arkansas,Total,Total,Race,3,2015
Arkansas,Total,Total,Religion,0,2015
Arkansas,Total,Total,Sexual orientation,2,2015
Arkansas,Total,Total,Disability,0,2015
Arkansas,Total,Total,Gender,0,2015
Arkansas,Total,Total,Gender Identity,0,2015
Arkansas,Cities,Total,Race,1,2015
Arkansas,Cities,Total,Religion,0,2015
Arkansas,Cities,Total,Sexual orientation,2,2015
Arkansas,Cities,Total,Disability,0,2015
Arkansas,Cities,Total,Gender,0,2015
Arkansas,Cities,Total,Gender Identity,0,2015
Arkansas,Cities,Bryant,Race,1,2015
Arkansas,Cities,Bryant,Religion,0,2015
Arkansas,Cities,Bryant,Sexual orientation,0,2015
Arkansas,Cities,Bryant,Disability,0,2015
Arkansas,Cities,Bryant,Gender,0,2015
Arkansas,Cities,Bryant,Gender Identity,0,2015
Arkansas,Cities,Fort Smith,Race,0,2015
Arkansas,Cities,Fort Smith,Religion,0,2015
Arkansas,Cities,Fort Smith,Sexual orientation,2,2015
Arkansas,Cities,Fort Smith,Disability,0,2015
Arkansas,Cities,Fort Smith,Gender,0,2015
Arkansas,Cities,Fort Smith,Gender Identity,0,2015
Arkansas,Metropolitan Counties,Total,Race,1,2015
Arkansas,Metropolitan Counties,Total,Religion,0,2015
Arkansas,Metropolitan Counties,Total,Sexual orientation,0,2015
Arkansas,Metropolitan Counties,Total,Disability,0,2015
Arkansas,Metropolitan Counties,Total,Gender,0,2015
Arkansas,Metropolitan Counties,Total,Gender Identity,0,2015
Arkansas,Metropolitan Counties,Sebastian,Race,1,2015
Arkansas,Metropolitan Counties,Sebastian,Religion,0,2015
Arkansas,Metropolitan Counties,Sebastian,Sexual orientation,0,2015
Arkansas,Metropolitan Counties,Sebastian,Disability,0,2015
Arkansas,Metropolitan Counties,Sebastian,Gender,0,2015
Arkansas,Metropolitan Counties,Sebastian,Gender Identity,0,2015
Arkansas,Nonmetropolitan Counties,Total,Race,1,2015
Arkansas,Nonmetropolitan Counties,Total,Religion,0,2015
Arkansas,Nonmetropolitan Counties,Total,Sexual orientation,0,2015
Arkansas,Nonmetropolitan Counties,Total,Disability,0,2015
Arkansas,Nonmetropolitan Counties,Total,Gender,0,2015
Arkansas,Nonmetropolitan Counties,Total,Gender Identity,0,2015
Arkansas,Nonmetropolitan Counties,Boone,Race,1,2015
Arkansas,Nonmetropolitan Counties,Boone,Religion,0,2015
Arkansas,Nonmetropolitan Counties,Boone,Sexual orientation,0,2015
Arkansas,Nonmetropolitan Counties,Boone,Disability,0,2015
Arkansas,Nonmetropolitan Counties,Boone,Gender,0,2015
Arkansas,Nonmetropolitan Counties,Boone,Gender Identity,0,2015
California,Total,Total,Race,427,2015
California,Total,Total,Religion,191,2015
California,Total,Total,Sexual orientation,188,2015
California,Total,Total,Disability,4,2015
California,Total,Total,Gender,1,2015
California,Total,Total,Gender Identity,26,2015
California,Cities,Total,Race,349,2015
California,Cities,Total,Religion,158,2015
California,Cities,Total,Sexual orientation,155,2015
California,Cities,Total,Disability,1,2015
California,Cities,Total,Gender,0,2015
California,Cities,Total,Gender Identity,24,2015
California,Cities,Alameda,Race,1,2015
California,Cities,Alameda,Religion,1,2015
California,Cities,Alameda,Sexual orientation,0,2015
California,Cities,Alameda,Disability,0,2015
California,Cities,Alameda,Gender,0,2015
California,Cities,Alameda,Gender Identity,0,2015
California,Cities,Alhambra,Race,0,2015
California,Cities,Alhambra,Religion,1,2015
California,Cities,Alhambra,Sexual orientation,0,2015
California,Cities,Alhambra,Disability,0,2015
California,Cities,Alhambra,Gender,0,2015
California,Cities,Alhambra,Gender Identity,0,2015
California,Cities,Antioch,Race,5,2015
California,Cities,Antioch,Religion,2,2015
California,Cities,Antioch,Sexual orientation,1,2015
California,Cities,Antioch,Disability,0,2015
California,Cities,Antioch,Gender,0,2015
California,Cities,Antioch,Gender Identity,0,2015
California,Cities,Azusa,Race,2,2015
California,Cities,Azusa,Religion,1,2015
California,Cities,Azusa,Sexual orientation,0,2015
California,Cities,Azusa,Disability,0,2015
California,Cities,Azusa,Gender,0,2015
California,Cities,Azusa,Gender Identity,0,2015
California,Cities,Bakersfield,Race,1,2015
California,Cities,Bakersfield,Religion,0,2015
California,Cities,Bakersfield,Sexual orientation,3,2015
California,Cities,Bakersfield,Disability,0,2015
California,Cities,Bakersfield,Gender,0,2015
California,Cities,Bakersfield,Gender Identity,0,2015
California,Cities,Banning,Race,1,2015
California,Cities,Banning,Religion,1,2015
California,Cities,Banning,Sexual orientation,0,2015
California,Cities,Banning,Disability,0,2015
California,Cities,Banning,Gender,0,2015
California,Cities,Banning,Gender Identity,0,2015
California,Cities,Bellflower,Race,1,2015
California,Cities,Bellflower,Religion,1,2015
California,Cities,Bellflower,Sexual orientation,0,2015
California,Cities,Bellflower,Disability,0,2015
California,Cities,Bellflower,Gender,0,2015
California,Cities,Bellflower,Gender Identity,0,2015
California,Cities,Bell Gardens,Race,2,2015
California,Cities,Bell Gardens,Religion,0,2015
California,Cities,Bell Gardens,Sexual orientation,0,2015
California,Cities,Bell Gardens,Disability,0,2015
California,Cities,Bell Gardens,Gender,0,2015
California,Cities,Bell Gardens,Gender Identity,0,2015
California,Cities,Berkeley,Race,2,2015
California,Cities,Berkeley,Religion,1,2015
California,Cities,Berkeley,Sexual orientation,1,2015
California,Cities,Berkeley,Disability,0,2015
California,Cities,Berkeley,Gender,0,2015
California,Cities,Berkeley,Gender Identity,0,2015
California,Cities,Beverly Hills,Race,0,2015
California,Cities,Beverly Hills,Religion,2,2015
California,Cities,Beverly Hills,Sexual orientation,0,2015
California,Cities,Beverly Hills,Disability,0,2015
California,Cities,Beverly Hills,Gender,0,2015
California,Cities,Beverly Hills,Gender Identity,0,2015
California,Cities,Brisbane,Race,1,2015
California,Cities,Brisbane,Religion,0,2015
California,Cities,Brisbane,Sexual orientation,1,2015
California,Cities,Brisbane,Disability,0,2015
California,Cities,Brisbane,Gender,0,2015
California,Cities,Brisbane,Gender Identity,0,2015
California,Cities,Buena Park,Race,0,2015
California,Cities,Buena Park,Religion,1,2015
California,Cities,Buena Park,Sexual orientation,0,2015
California,Cities,Buena Park,Disability,0,2015
California,Cities,Buena Park,Gender,0,2015
California,Cities,Buena Park,Gender Identity,0,2015
California,Cities,Burbank,Race,1,2015
California,Cities,Burbank,Religion,0,2015
California,Cities,Burbank,Sexual orientation,0,2015
California,Cities,Burbank,Disability,0,2015
California,Cities,Burbank,Gender,0,2015
California,Cities,Burbank,Gender Identity,0,2015
California,Cities,Calabasas,Race,1,2015
California,Cities,Calabasas,Religion,0,2015
California,Cities,Calabasas,Sexual orientation,0,2015
California,Cities,Calabasas,Disability,0,2015
California,Cities,Calabasas,Gender,0,2015
California,Cities,Calabasas,Gender Identity,0,2015
California,Cities,Camarillo,Race,1,2015
California,Cities,Camarillo,Religion,0,2015
California,Cities,Camarillo,Sexual orientation,0,2015
California,Cities,Camarillo,Disability,0,2015
California,Cities,Camarillo,Gender,0,2015
California,Cities,Camarillo,Gender Identity,0,2015
California,Cities,Carmel,Race,0,2015
California,Cities,Carmel,Religion,1,2015
California,Cities,Carmel,Sexual orientation,0,2015
California,Cities,Carmel,Disability,0,2015
California,Cities,Carmel,Gender,0,2015
California,Cities,Carmel,Gender Identity,0,2015
California,Cities,Carson,Race,3,2015
California,Cities,Carson,Religion,0,2015
California,Cities,Carson,Sexual orientation,0,2015
California,Cities,Carson,Disability,0,2015
California,Cities,Carson,Gender,0,2015
California,Cities,Carson,Gender Identity,0,2015
California,Cities,Chino Hills,Race,0,2015
California,Cities,Chino Hills,Religion,1,2015
California,Cities,Chino Hills,Sexual orientation,0,2015
California,Cities,Chino Hills,Disability,0,2015
California,Cities,Chino Hills,Gender,0,2015
California,Cities,Chino Hills,Gender Identity,0,2015
California,Cities,Chula Vista,Race,1,2015
California,Cities,Chula Vista,Religion,0,2015
California,Cities,Chula Vista,Sexual orientation,2,2015
California,Cities,Chula Vista,Disability,0,2015
California,Cities,Chula Vista,Gender,0,2015
California,Cities,Chula Vista,Gender Identity,0,2015
California,Cities,Citrus Heights,Race,1,2015
California,Cities,Citrus Heights,Religion,1,2015
California,Cities,Citrus Heights,Sexual orientation,0,2015
California,Cities,Citrus Heights,Disability,0,2015
California,Cities,Citrus Heights,Gender,0,2015
California,Cities,Citrus Heights,Gender Identity,0,2015
California,Cities,Claremont,Race,1,2015
California,Cities,Claremont,Religion,2,2015
California,Cities,Claremont,Sexual orientation,1,2015
California,Cities,Claremont,Disability,0,2015
California,Cities,Claremont,Gender,0,2015
California,Cities,Claremont,Gender Identity,0,2015
California,Cities,Clearlake,Race,5,2015
California,Cities,Clearlake,Religion,2,2015
California,Cities,Clearlake,Sexual orientation,0,2015
California,Cities,Clearlake,Disability,0,2015
California,Cities,Clearlake,Gender,0,2015
California,Cities,Clearlake,Gender Identity,0,2015
California,Cities,Clovis,Race,1,2015
California,Cities,Clovis,Religion,1,2015
California,Cities,Clovis,Sexual orientation,0,2015
California,Cities,Clovis,Disability,0,2015
California,Cities,Clovis,Gender,0,2015
California,Cities,Clovis,Gender Identity,0,2015
California,Cities,Coachella,Race,0,2015
California,Cities,Coachella,Religion,1,2015
California,Cities,Coachella,Sexual orientation,0,2015
California,Cities,Coachella,Disability,0,2015
California,Cities,Coachella,Gender,0,2015
California,Cities,Coachella,Gender Identity,0,2015
California,Cities,Colton,Race,0,2015
California,Cities,Colton,Religion,1,2015
California,Cities,Colton,Sexual orientation,0,2015
California,Cities,Colton,Disability,0,2015
California,Cities,Colton,Gender,0,2015
California,Cities,Colton,Gender Identity,0,2015
California,Cities,Commerce,Race,0,2015
California,Cities,Commerce,Religion,0,2015
California,Cities,Commerce,Sexual orientation,1,2015
California,Cities,Commerce,Disability,0,2015
California,Cities,Commerce,Gender,0,2015
California,Cities,Commerce,Gender Identity,0,2015
California,Cities,Compton,Race,1,2015
California,Cities,Compton,Religion,0,2015
California,Cities,Compton,Sexual orientation,1,2015
California,Cities,Compton,Disability,0,2015
California,Cities,Compton,Gender,0,2015
California,Cities,Compton,Gender Identity,0,2015
California,Cities,Concord,Race,3,2015
California,Cities,Concord,Religion,1,2015
California,Cities,Concord,Sexual orientation,1,2015
California,Cities,Concord,Disability,0,2015
California,Cities,Concord,Gender,0,2015
California,Cities,Concord,Gender Identity,0,2015
California,Cities,Covina,Race,1,2015
California,Cities,Covina,Religion,0,2015
California,Cities,Covina,Sexual orientation,0,2015
California,Cities,Covina,Disability,0,2015
California,Cities,Covina,Gender,0,2015
California,Cities,Covina,Gender Identity,0,2015
California,Cities,Cypress,Race,1,2015
California,Cities,Cypress,Religion,1,2015
California,Cities,Cypress,Sexual orientation,0,2015
California,Cities,Cypress,Disability,0,2015
California,Cities,Cypress,Gender,0,2015
California,Cities,Cypress,Gender Identity,0,2015
California,Cities,Daly City,Race,1,2015
California,Cities,Daly City,Religion,0,2015
California,Cities,Daly City,Sexual orientation,1,2015
California,Cities,Daly City,Disability,0,2015
California,Cities,Daly City,Gender,0,2015
California,Cities,Daly City,Gender Identity,0,2015
California,Cities,Davis,Race,2,2015
California,Cities,Davis,Religion,2,2015
California,Cities,Davis,Sexual orientation,2,2015
California,Cities,Davis,Disability,0,2015
California,Cities,Davis,Gender,0,2015
California,Cities,Davis,Gender Identity,0,2015
California,Cities,Diamond Bar,Race,2,2015
California,Cities,Diamond Bar,Religion,0,2015
California,Cities,Diamond Bar,Sexual orientation,0,2015
California,Cities,Diamond Bar,Disability,0,2015
California,Cities,Diamond Bar,Gender,0,2015
California,Cities,Diamond Bar,Gender Identity,0,2015
California,Cities,East Palo Alto,Race,0,2015
California,Cities,East Palo Alto,Religion,1,2015
California,Cities,East Palo Alto,Sexual orientation,1,2015
California,Cities,East Palo Alto,Disability,0,2015
California,Cities,East Palo Alto,Gender,0,2015
California,Cities,East Palo Alto,Gender Identity,0,2015
California,Cities,El Cajon,Race,0,2015
California,Cities,El Cajon,Religion,0,2015
California,Cities,El Cajon,Sexual orientation,1,2015
California,Cities,El Cajon,Disability,0,2015
California,Cities,El Cajon,Gender,0,2015
California,Cities,El Cajon,Gender Identity,0,2015
California,Cities,El Cerrito,Race,2,2015
California,Cities,El Cerrito,Religion,0,2015
California,Cities,El Cerrito,Sexual orientation,0,2015
California,Cities,El Cerrito,Disability,0,2015
California,Cities,El Cerrito,Gender,0,2015
California,Cities,El Cerrito,Gender Identity,0,2015
California,Cities,Elk Grove,Race,2,2015
California,Cities,Elk Grove,Religion,0,2015
California,Cities,Elk Grove,Sexual orientation,0,2015
California,Cities,Elk Grove,Disability,0,2015
California,Cities,Elk Grove,Gender,0,2015
California,Cities,Elk Grove,Gender Identity,0,2015
California,Cities,El Monte,Race,2,2015
California,Cities,El Monte,Religion,0,2015
California,Cities,El Monte,Sexual orientation,1,2015
California,Cities,El Monte,Disability,0,2015
California,Cities,El Monte,Gender,0,2015
California,Cities,El Monte,Gender Identity,0,2015
California,Cities,El Segundo,Race,1,2015
California,Cities,El Segundo,Religion,0,2015
California,Cities,El Segundo,Sexual orientation,0,2015
California,Cities,El Segundo,Disability,0,2015
California,Cities,El Segundo,Gender,0,2015
California,Cities,El Segundo,Gender Identity,0,2015
California,Cities,Escondido,Race,6,2015
California,Cities,Escondido,Religion,0,2015
California,Cities,Escondido,Sexual orientation,0,2015
California,Cities,Escondido,Disability,0,2015
California,Cities,Escondido,Gender,0,2015
California,Cities,Escondido,Gender Identity,0,2015
California,Cities,Eureka,Race,2,2015
California,Cities,Eureka,Religion,0,2015
California,Cities,Eureka,Sexual orientation,0,2015
California,Cities,Eureka,Disability,0,2015
California,Cities,Eureka,Gender,0,2015
California,Cities,Eureka,Gender Identity,0,2015
California,Cities,Fairfield,Race,0,2015
California,Cities,Fairfield,Religion,0,2015
California,Cities,Fairfield,Sexual orientation,1,2015
California,Cities,Fairfield,Disability,0,2015
California,Cities,Fairfield,Gender,0,2015
California,Cities,Fairfield,Gender Identity,0,2015
California,Cities,Firebaugh,Race,1,2015
California,Cities,Firebaugh,Religion,0,2015
California,Cities,Firebaugh,Sexual orientation,0,2015
California,Cities,Firebaugh,Disability,0,2015
California,Cities,Firebaugh,Gender,0,2015
California,Cities,Firebaugh,Gender Identity,0,2015
California,Cities,Folsom,Race,2,2015
California,Cities,Folsom,Religion,0,2015
California,Cities,Folsom,Sexual orientation,0,2015
California,Cities,Folsom,Disability,0,2015
California,Cities,Folsom,Gender,0,2015
California,Cities,Folsom,Gender Identity,0,2015
California,Cities,Fort Bragg,Race,0,2015
California,Cities,Fort Bragg,Religion,1,2015
California,Cities,Fort Bragg,Sexual orientation,0,2015
California,Cities,Fort Bragg,Disability,0,2015
California,Cities,Fort Bragg,Gender,0,2015
California,Cities,Fort Bragg,Gender Identity,0,2015
California,Cities,Foster City,Race,0,2015
California,Cities,Foster City,Religion,0,2015
California,Cities,Foster City,Sexual orientation,1,2015
California,Cities,Foster City,Disability,0,2015
California,Cities,Foster City,Gender,0,2015
California,Cities,Foster City,Gender Identity,0,2015
California,Cities,Fremont,Race,2,2015
California,Cities,Fremont,Religion,1,2015
California,Cities,Fremont,Sexual orientation,0,2015
California,Cities,Fremont,Disability,0,2015
California,Cities,Fremont,Gender,0,2015
California,Cities,Fremont,Gender Identity,0,2015
California,Cities,Fresno,Race,7,2015
California,Cities,Fresno,Religion,0,2015
California,Cities,Fresno,Sexual orientation,1,2015
California,Cities,Fresno,Disability,0,2015
California,Cities,Fresno,Gender,0,2015
California,Cities,Fresno,Gender Identity,2,2015
California,Cities,Fullerton,Race,1,2015
California,Cities,Fullerton,Religion,0,2015
California,Cities,Fullerton,Sexual orientation,0,2015
California,Cities,Fullerton,Disability,0,2015
California,Cities,Fullerton,Gender,0,2015
California,Cities,Fullerton,Gender Identity,1,2015
California,Cities,Galt,Race,2,2015
California,Cities,Galt,Religion,0,2015
California,Cities,Galt,Sexual orientation,0,2015
California,Cities,Galt,Disability,0,2015
California,Cities,Galt,Gender,0,2015
California,Cities,Galt,Gender Identity,0,2015
California,Cities,Garden Grove,Race,1,2015
California,Cities,Garden Grove,Religion,1,2015
California,Cities,Garden Grove,Sexual orientation,0,2015
California,Cities,Garden Grove,Disability,0,2015
California,Cities,Garden Grove,Gender,0,2015
California,Cities,Garden Grove,Gender Identity,0,2015
California,Cities,Glendale,Race,1,2015
California,Cities,Glendale,Religion,0,2015
California,Cities,Glendale,Sexual orientation,0,2015
California,Cities,Glendale,Disability,0,2015
California,Cities,Glendale,Gender,0,2015
California,Cities,Glendale,Gender Identity,1,2015
California,Cities,Glendora,Race,1,2015
California,Cities,Glendora,Religion,0,2015
