Name,Address,Zipcode,Zip,City,County,State,Country,Timezone,Area Code
Glenwood Inc,Main Campus150 Glenwood LaneBirmingham, AL 35242,35242,Birmingham,Shelby,Alabama,US,America/Chicago,205
Grandview Medical Center,Behavioral Health3690 Grandview ParkwayBirmingham, AL 35243,35243,Birmingham,Jefferson,Alabama,US,America/Chicago,205
Home9/Eastlake,7744 1st Avenue SouthBirmingham, AL 35206,35206,Birmingham,Jefferson,Alabama,US,America/Chicago,205
JBS Mental Health Authority,940 Montclair RoadSuite 200Birmingham, AL 35213,35213,Birmingham,Jefferson,Alabama,US,America/Chicago,205
JBS Mental Health Authority,Day Treatment Program3600 4th Avenue SouthBirmingham, AL 35222,35222,Birmingham,Jefferson,Alabama,US,America/Chicago,205
Princeton Baptist Medical Center,701 Princeton Avenue SWBirmingham, AL 35211,35211,Birmingham,Jefferson,Alabama,US,America/Chicago,205
Rehabilitation Day Program,Jasper House2112 Avenue HSuite BBirmingham, AL 35218,35218,Birmingham,Jefferson,Alabama,US,America/Chicago,205
Resident Care Home Specialized Behav,JASPER House2112 Avenue HSuite BBirmingham, AL 35218,35218,Birmingham,Jefferson,Alabama,US,America/Chicago,205
UAB Community Psychiatry Program,908 20th Street SouthCCB 4th FloorBirmingham, AL 35294,35294,Birmingham,Jefferson,Alabama,US,America/Chicago,205
UAB Department of Psychiatry,Center for Psychiatric Med1713 6th Avenue SouthBirmingham, AL 35294,35294,Birmingham,Jefferson,Alabama,US,America/Chicago,205
UAB Engel Day Treatment Ctr,930 20th Street SouthBirmingham, AL 35294,35294,Birmingham,Jefferson,Alabama,US,America/Chicago,205
UAB Hospital,Center for Psychiatric Medicine619 19th Street SouthBirmingham, AL 35249,35249,Birmingham,Jefferson,Alabama,US,America/Chicago,205
Western Mental Health Center Inc,1701 Avenue DBirmingham, AL 35218,35218,Birmingham,Jefferson,Alabama,US,America/Chicago,205
West Alabama Mental Health Center,Choctaw County Office401 Rogers StreetButler, AL 36904,36904,Butler,Choctaw,Alabama,US,America/Chicago,205
Hamilton Center,151 Hamilton LaneCalera, AL 35040,35040,Calera,Shelby,Alabama,US,America/Chicago,205
Cahaba Center for Mental Health,Wilcox County Satellite45 Camden BypassCamden, AL 36726,36726,Camden,Wilcox,Alabama,US,America/Chicago,334
Pickens County Medical Center,241 Robert K Wilson DriveCarrollton, AL 35447,35447,Carrollton,Pickens,Alabama,US,America/Chicago,205
Pickens County Satellite,Indian Rivers Mental Health Center140 Courthouse Square EastCarrollton, AL 35447,35447,Carrollton,Pickens,Alabama,US,America/Chicago,205
Cherokee Etowah Dekalb CMHC,Cherokee County Office200 Dean Buttram AvenueCentre, AL 35960,35960,Centre,Cherokee,Alabama,US,America/Chicago,256
Cherokee Etowah Dekalb CMHC,White/Parker Home Specialized901 Edith StreetCentre, AL 35960,35960,Centre,Cherokee,Alabama,US,America/Chicago,256
AltaPointe Health Systems Inc,Community Counseling/WashingtonCounty1812 Dixie Youth DriveChatom, AL 36518,36518,Chatom,Washington,Alabama,US,America/Chicago,251
Clanton MI Outpatient,110 Medical Center DriveClanton, AL 35045,35045,Clanton,Chilton,Alabama,US,America/Chicago,205
Magnolia Creek Treatment Center for Women,645 Crenshaw RoadColumbiana, AL 35051,35051,Columbiana,Shelby,Alabama,US,America/Chicago,205
Mental Healthcare of Cullman,1909 Commerce AvenueCullman, AL 35055,35055,Cullman,Cullman,Alabama,US,America/Chicago,256
East Pointe Hospital,7400 Roper LaneDaphne, AL 36526,36526,Daphne,Baldwin,Alabama,US,America/Chicago,251
MHCNCA Inc,Decatur/Morgan Counseling Center4110 U.S. Highway 31 SouthDecatur, AL 35603,35603,Decatur,Morgan,Alabama,US,America/Chicago,256
Mental Health Center of NCA Inc,The Albany Clinic for Children1315 13th Avenue SEDecatur, AL 35601,35601,Decatur,Morgan,Alabama,US,America/Chicago,256
Bryan W Whitfield Memorial Hosp,Tombigbee Healthcare Authority105 U.S. Highway 80 EastDemopolis, AL 36732,36732,Demopolis,Marengo,Alabama,US,America/Chicago,334
West Alabama Mental Health Center,1215 South Walnut AvenueDemopolis, AL 36732,36732,Demopolis,Marengo,Alabama,US,America/Chicago,334
West Alabama Mental Health Center,1401 U.S. Highway 80 EastDemopolis, AL 36732,36732,Demopolis,Marengo,Alabama,US,America/Chicago,334
West Alabama Mental Health Center,Springhill Home1304 Old Springhill RoadDemopolis, AL 36732,36732,Demopolis,Marengo,Alabama,US,America/Chicago,334
Laurel Oaks Behavioral Health Center,700 East Cottonwood RoadDothan, AL 36301,36301,Dothan,Houston,Alabama,US,America/Chicago,334
Southeast Alabama Medical Center,Behavioral Medicine Center1108 Ross Clark CircleDothan, AL 36301,36301,Dothan,Houston,Alabama,US,America/Chicago,334
SpectraCare,Houston County Day Treatment134 Prevatt RoadDothan, AL 36302,36302,Dothan,Houston,Alabama,US,America/Chicago,334
Mountain Lakes Behavioral Healthcare,Sue Bolt Foster Home4884 Alabama Highway 40Dutton, AL 35744,35744,Dutton,Jackson,Alabama,US,America/Chicago,256
Mountain Lakes Residential Care Home,4886 Alabama Highway 40Dutton, AL 35744,35744,Dutton,Jackson,Alabama,US,America/Chicago,256
South Central Alabama CMHC,Coffee County Day Mental Health Clinic2861 Neal Metcalf RoadEnterprise, AL 36330,36330,Enterprise,Coffee,Alabama,US,America/Chicago,334
Medical Center Barbour,820 West Washington StreetEufaula, AL 36027,36027,Eufaula,Barbour,Alabama,US,America/Chicago,334
SpectraCare,Barbour County Clinic133 North Orange AvenueEufaula, AL 36027,36027,Eufaula,Barbour,Alabama,US,America/Chicago,334
West Alabama Mental Health Center,Greene County Office301 Prairie AvenueEutaw, AL 35462,35462,Eutaw,Greene,Alabama,US,America/Chicago,205
AltaPointe Health Systems Inc,372 Greeno Road SouthFairhope, AL 36532,36532,Fairhope,Baldwin,Alabama,US,America/Chicago,251
Harbor at Thomas Hospital,750 Morphy AvenueFairhope, AL 36532,36532,Fairhope,Baldwin,Alabama,US,America/Chicago,251
Eliza Coffee Memorial Hospital,Behavioral Health Center205 Marengo StreetFlorence, AL 35630,35630,Florence,Lauderdale,Alabama,US,America/Chicago,256
Riverbend Center for Mental Health,635 West College StreetFlorence, AL 35630,35630,Florence,Lauderdale,Alabama,US,America/Chicago,256
Cherokee Etowah Dekalb CMHC,Dekalb County Office301 14th Street NWFort Payne, AL 35967,35967,Fort Payne,DeKalb,Alabama,US,America/Chicago,256
DeKalb Regional Medical Center,200 Medical Center Drive SWFort Payne, AL 35968,35968,Fort Payne,DeKalb,Alabama,US,America/Chicago,256
Frantz Therapeutic Residential Home,1038 McDuffie StreetGadsden, AL 35904,35904,Gadsden,Etowah,Alabama,US,America/Chicago,256
Mountain View Hospital,3001 Scenic HighwayGadsden, AL 35904,35904,Gadsden,Etowah,Alabama,US,America/Chicago,256
Riverview Regional Medical Center,Senior Heights600 South 3rd StreetGadsden, AL 35901,35901,Gadsden,Etowah,Alabama,US,America/Chicago,256
SpectraCare,Geneva County Clinic1203 West Maple AvenueGeneva, AL 36340,36340,Geneva,Geneva,Alabama,US,America/Chicago,334
West Alabama Mental Health Center,Hale County Office401 1st StreetGreensboro, AL 36744,36744,Greensboro,Hale,Alabama,US,America/Chicago,334
South Central Alabama CMHC,Butler County MH Center185 Industrial ParkwayGreenville, AL 36037,36037,Greenville,Butler,Alabama,US,America/Chicago,334
Southern Oaks,Grove Hill Memorial Hospital295 South Jackson StreetGrove Hill, AL 36451,36451,Grove Hill,Clarke,Alabama,US,America/Chicago,"2,51,334"
Marshall Medical Center North,Behavioral Health Unit8000 Al Highway 69Guntersville, AL 35976,35976,Guntersville,Marshall,Alabama,US,America/Chicago,256
Mountain Lakes Behavioral Healthcare,2409 Homer Clayton DriveGuntersville, AL 35976,35976,Guntersville,Marshall,Alabama,US,America/Chicago,256
Northwest Alabama MHC,Winston County Office71 Carraway DriveHaleyville, AL 35565,35565,Haleyville,Winston,Alabama,US,America/Chicago,205
Montgomery Area MH Authority,Lowndes County Satellite Office5 Academy LaneHayneville, AL 36040,36040,Hayneville,Lowndes,Alabama,US,America/Chicago,334
Highland Health Systems,Outpatient Satellite150 Tompkins StreetHeflin, AL 36264,36264,Heflin,Cleburne,Alabama,US,America/Chicago,256
Behavioral Healthcare Center at,Huntsville5315 Millennium Drive NWHuntsville, AL 35806,35806,Huntsville,Madison,Alabama,US,America/Chicago,256
Birmingham VAMC,Huntsville Clinic301 Governors Drive SWHuntsville, AL 35801,35801,Huntsville,Madison,Alabama,US,America/Chicago,256
Crestwood Medical Center,Behavioral Health Services1 Hospital Drive SWHuntsville, AL 35801,35801,Huntsville,Madison,Alabama,US,America/Chicago,256
Crisis Residential Center,3911 Triana Boulevard SWSuite AHuntsville, AL 35805,35805,Huntsville,Madison,Alabama,US,America/Chicago,256
Huntsville Hospital,101 Sivley SW RoadHuntsville, AL 35801,35801,Huntsville,Madison,Alabama,US,America/Chicago,256
WellStone Behavioral Health,4040 Memorial Parkway SWHuntsville, AL 35802,35802,Huntsville,Madison,Alabama,US,America/Chicago,256
Highland Health Systems,Jacksonville Mental Health614 Pelham Road SouthJacksonville, AL 36265,36265,Jacksonville,Calhoun,Alabama,US,America/Chicago,256
Regional Medical Center/Jacksonville,1701 Pelham Road SouthP.O. Box 999Jacksonville, AL 36265,36265,Jacksonville,Calhoun,Alabama,US,America/Chicago,256
Child and Adolescent and Adult,Outpatient Clay County88217 Highway 9Lineville, AL 36266,36266,Lineville,Clay,Alabama,US,America/Chicago,256
West Alabama Mental Health Center,Sumter County Office1121 North Washington StreetLivingston, AL 35470,35470,Livingston,Sumter,Alabama,US,America/Chicago,"2,05,334"
Beacon Childrens Hospital,150 Hospital DriveLuverne, AL 36049,36049,Luverne,Crenshaw,Alabama,US,America/Chicago,334
Crenshaw Community Hospital,Special Sevices Unit101 Hospital CircleLuverne, AL 36049,36049,Luverne,Crenshaw,Alabama,US,America/Chicago,334
South Central Alabama CMHC,Crenshaw County Mental Health Clinic587 Bentley AvenueLuverne, AL 36049,36049,Luverne,Crenshaw,Alabama,US,America/Chicago,334
Cahaba Center for Mental Health,Perry County Satellite104 Edwards StreetMarion, AL 36756,36756,Marion,Perry,Alabama,US,America/Chicago,334
AltaPointe Health Systems Inc,BayPointe Hospital5800 Southland DriveMobile, AL 36693,36693,Mobile,Mobile,Alabama,US,America/Chicago,251
AltaPointe Health Systems Inc,Zeigler Outpatient7280 Sellers LaneMobile, AL 36608,36608,Mobile,Mobile,Alabama,US,America/Chicago,251
AltaPointe Health Systems Inc,AltaPointe Medication Assisted Trt4211 Government BoulevardMobile, AL 36693,36693,Mobile,Mobile,Alabama,US,America/Chicago,251
Gardenia CRF,630 Zeigler Circle EastMobile, AL 36608,36608,Mobile,Mobile,Alabama,US,America/Chicago,251
Gulf Coast VAMC,VA Outpatient Clinic1504 Spring Hill AvenueMobile, AL 36604,36604,Mobile,Mobile,Alabama,US,America/Chicago,251
Baptist Medical Center South,Crossbridge Behavioral Health4385 Narrow Lane RoadMontgomery, AL 36116,36116,Montgomery,Montgomery,Alabama,US,America/Chicago,"2,05,334"
Jackson Hospital,Montgomery County Assessment Center917 Olive StreetMontgomery, AL 36106,36106,Montgomery,Montgomery,Alabama,US,America/Chicago,334
Montgomery Area MH Authority,2140 Upper Wetumpka RoadMontgomery, AL 36107,36107,Montgomery,Montgomery,Alabama,US,America/Chicago,334
Montgomery Area MH Authority,Child and Adolescent Center112 Coliseum BoulevardMontgomery, AL 36109,36109,Montgomery,Montgomery,Alabama,US,America/Chicago,334
Montgomery Area MH Authority,Crisis Residential Care Unit3948 Beth Manor DriveMontgomery, AL 36109,36109,Montgomery,Montgomery,Alabama,US,America/Chicago,334
SafetyNet Academy,SafetyNet Montgomery5906 Carmichael PlaceMontgomery, AL 36117,36117,Montgomery,Montgomery,Alabama,US,America/Chicago,334
Lawrence County,Adult CM295 Hospital StreetMoulton, AL 35650,35650,Moulton,Lawrence,Alabama,US,America/Chicago,256
Lawrence County,Adult Outpatient295 Hospital StreetMoulton, AL 35650,35650,Moulton,Lawrence,Alabama,US,America/Chicago,256
Lawrence County,Child and Adol CM/Hourly Services295 Hospital StreetMoulton, AL 35650,35650,Moulton,Lawrence,Alabama,US,America/Chicago,256
MHCNCA Inc,Moulton Lawrence Counseling Center317 Hospital StreetMoulton, AL 35650,35650,Moulton,Lawrence,Alabama,US,America/Chicago,256
Shoals Senior Care,201 Avalon AvenueMuscle Shoals, AL 35661,35661,Muscle Shoals,Colbert,Alabama,US,America/Chicago,256
Northport Medical Center,North Harbor Psych Pavillion2700 Hospital DriveNorthport, AL 35476,35476,Northport,Tuscaloosa,Alabama,US,America/Chicago,205
Blount County CMHC,1002 2nd Avenue EastSuite AOneonta, AL 35121,35121,Oneonta,Blount,Alabama,US,America/Chicago,205
East Alabama Medical Center,Department of Psychiatric Medicine2000 Pepperell ParkwayOpelika, AL 36801,36801,Opelika,Lee,Alabama,US,America/Chicago,"2,51,334"
Grand View Behavioral Health,2123 Executive Park DriveOpelika, AL 36801,36801,Opelika,Lee,Alabama,US,America/Chicago,"2,51,334"
Waverly Residential Care Home,East Alabama Mental Health2401 Waverly ParkwayOpelika, AL 36801,36801,Opelika,Lee,Alabama,US,America/Chicago,"2,51,334"
Mizell Memorial Hospital,Senior Care Behavioral Unit702 Main StreetOpp, AL 36467,36467,Opp,Covington,Alabama,US,America/Chicago,334
Birmingham VAMC,Anniston Oxford Clinic96 Ali Way Creekside StreetOxford, AL 36203,36203,Oxford,Calhoun,Alabama,US,America/Chicago,"2,56,205"
Dale Medical Center,New Day Psychiatric Unit126 Hospital AvenueOzark, AL 36360,36360,Ozark,Dale,Alabama,US,America/Chicago,334
SpectraCare,Dale County/Clinic and Day Treatment134 Katherine AvenueOzark, AL 36360,36360,Ozark,Dale,Alabama,US,America/Chicago,334
Chilton Shelby MHC,2100 County Services DrivePelham, AL 35124,35124,Pelham,Shelby,Alabama,US,America/Chicago,205
Family/Youth Intervention Junior,Family and Youth Intervention Programs2280 Highway 35Pelham, AL 35124,35124,Pelham,Shelby,Alabama,US,America/Chicago,205
Saint Clair County CMHC,625 15th Street NorthPell City, AL 35125,35125,Pell City,St. Clair,Alabama,US,America/Chicago,205
Montgomery Area MH Authority,Autauga County Satellite Office698 Commerce CourtSuite CPrattville, AL 36066,36066,Prattville,Autauga,Alabama,US,America/Chicago,334
Randolph County Satellite Office,AltaPointe Sylacauga Region706 Main StreetRoanoke, AL 36274,36274,Roanoke,Randolph,Alabama,US,America/Chicago,"3,34,256"
Riverbend Center for Mental Health,205 Jackson Avenue SouthRussellville, AL 35653,35653,Russellville,Franklin,Alabama,US,America/Chicago,256
SpectraCare,Geneva County Day Treatment10386 West State Highway 52Samson, AL 36477,36477,Samson,Geneva,Alabama,US,America/Chicago,334
Mountain Lakes Behavioral Healthcare,Jackson County Office508 Gregory StreetScottsboro, AL 35768,35768,Scottsboro,Jackson,Alabama,US,America/Chicago,"2,56,205"
Cahaba Center for Mental Health,Annex417 Medical Center ParkwaySelma, AL 36701,36701,Selma,Dallas,Alabama,US,America/Chicago,334
Cahaba Center for Mental Health,Cahaba Place2990 Earl Goodwin ParkwaySelma, AL 36701,36701,Selma,Dallas,Alabama,US,America/Chicago,334
Cahaba Center for Mental Health,Reynolds Building1017 Medical Center ParkwaySelma, AL 36701,36701,Selma,Dallas,Alabama,US,America/Chicago,334
Altapointe Health Systems Inc,Sylacauga Outpatient Office1661 Old Birmingham HighwaySylacauga, AL 35150,35150,Sylacauga,Talladega,Alabama,US,America/Chicago,"2,56,205"
Coosa Valley Senior Behavioral,315 West Hickory StreetSylacauga, AL 35150,35150,Sylacauga,Talladega,Alabama,US,America/Chicago,"2,56,205"
Hillwood Home,210 North Elm AvenueSylacauga, AL 35150,35150,Sylacauga,Talladega,Alabama,US,America/Chicago,"2,56,205"
Citizens Baptist Medical Center,Bradford Health Services604 Stone AvenueTalladega, AL 35160,35160,Talladega,Talladega,Alabama,US,America/Chicago,"2,56,205"
Community Hospital,805 Friendship RoadTallassee, AL 36078,36078,Tallassee,Elmore,Alabama,US,America/Chicago,334
Brewer/Porch Childrens Center,University of Alabama2501 Woodland RoadTuscaloosa, AL 35404,35404,Tuscaloosa,Tuscaloosa,Alabama,US,America/Chicago,205
Bryce Hospital,1651 Ruby Tyler ParkwayTuscaloosa, AL 35404,35404,Tuscaloosa,Tuscaloosa,Alabama,US,America/Chicago,205
Indian Rivers Mental Health Center,2209 9th StreetTuscaloosa, AL 35401,35401,Tuscaloosa,Tuscaloosa,Alabama,US,America/Chicago,205
Mary Starke Harper,Geriatric Psychiatry Center107 5th Avenue EastTuscaloosa, AL 35401,35401,Tuscaloosa,Tuscaloosa,Alabama,US,America/Chicago,205
SpectraCare,Houston County/Rehab Day Program6154 Old Webb RoadWebb, AL 36376,36376,Webb,Houston,Alabama,US,America/Chicago,334
Montgomery Area MH Authority,Hillside Mental Health Center8721 U.S. Highway 231Wetumpka, AL 36092,36092,Wetumpka,Elmore,Alabama,US,America/Chicago,334
Altapointe Health Systems Inc,Lott Transitional Age CRF8065 Lott RoadWilmer, AL 36587,36587,Wilmer,Mobile,Alabama,US,America/Chicago,"2,51,228"
Northwest Medical Center,1530 U.S. Highway 43Winfield, AL 35594,35594,Winfield,Marion,Alabama,US,America/Chicago,205
AK Child and Family,1920 East 24th AvenueAnchorage, AK 99508,99508,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
AK Child and Family,4600 Abbott RoadAnchorage, AK 99507,99507,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Akeela Inc,360 West Benson BoulevardSuite 300Anchorage, AK 99503,99503,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Alaska Native Medical Center,4320 Diplomacy DriveAnchorage, AK 99508,99508,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Aleutian Pribilof Islands Association,1131 East International Airport RoadAnchorage, AK 99518,99518,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Anchorage Comm Mental Health Services,1432 Ingra StreetAnchorage, AK 99501,99501,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Arc of Anchorage,2211 Arca DriveAnchorage, AK 99508,99508,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Chris Kyle Patriots Hospital,1650 Bragaw StreetAnchorage, AK 99508,99508,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Denali Cove Counseling Center,1565 Bragaw StreetSuite 201Anchorage, AK 99508,99508,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
N40 N65,Denali Family Services1251 Muldoon RoadSuite 116Anchorage, AK 99504,99504,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Denali Family Services,6401 A StreetAnchorage, AK 99518,99518,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Good Samaritan Psychiatric Services,2741 DeBarr RoadSuite C-405Anchorage, AK 99508,99508,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Greatland Clinical Associates LLC,1400 West Benson BoulevardSuite 315Anchorage, AK 99503,99503,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Hope Community Resources,540 West International Airport RoadSuite 100Anchorage, AK 99518,99518,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
North Star DeBarr Hospital,2530 DeBarr RoadAnchorage, AK 99508,99508,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
North Star DeBarr RTC,1500 Debarr CircleAnchorage, AK 99508,99508,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Providence Adolescent,Residential Treatment Center3210 West 62nd AvenueAnchorage, AK 99502,99502,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Providence Alaska Medical Center,Behavioral Health/4W3200 Providence DriveAnchorage, AK 99519,99519,Anchorage,North Slope,Alaska,US,America/Anchorage,907
Providence Health and Servs/Washington,DBA Providence Behavioral Medicine3760 Piper StreetSuite 1108Anchorage, AK 99508,99508,Anchorage,Anchorage,Alaska,US,America/Anchorage,907
Gathering Place,5326 Laura Madison StreetBarrow, AK 99723,99723,Barrow,North Slope,Alaska,US,0,907
Matsutani Community Resource Center,1402 Nachik StreetBarrow, AK 99723,99723,Barrow,North Slope,Alaska,US,0,907
McCann Treatment Center,5016 Noel Polty BoulevardBethel, AK 99559,99559,Bethel,Bethel,Alaska,US,0,907
Yukon Kuskokwim Health Corporation,829 Eddie Hoffman HighwayBethel, AK 99559,99559,Bethel,Bethel,Alaska,US,0,907
Copper River Native Association,Mile 111.5 Old Richardson HighwayCopper Center, AK 99573,99573,Copper Center,Valdez-Cordova,Alaska,US,America/Anchorage,907
Sound Alternatives,Cordova Community Medical Clinic602 Chase AvenueCordova, AK 99574,99574,Cordova,Valdez-Cordova,Alaska,US,0,907
Family Centered Services of Alaska,1825 Marika RoadFairbanks, AK 99709,99709,Fairbanks,Fairbanks North Star,Alaska,US,America/Anchorage,907
Family Centered Services of Alaska,3101 Lathrop StreetFairbanks, AK 99701,99701,Fairbanks,Fairbanks North Star,Alaska,US,America/Anchorage,907
Presbyterian Hospitality House,209 Forty Mile AvenueSuite 100Fairbanks, AK 99701,99701,Fairbanks,Fairbanks North Star,Alaska,US,America/Anchorage,907
Tanana Chiefs Conference,Behavioral Health122 1st AvenueSuite 600Fairbanks, AK 99701,99701,Fairbanks,Fairbanks North Star,Alaska,US,America/Anchorage,907
Council of Athabascan Tribal Govt,101 Spruce StreetFort Yukon, AK 99740,99740,Fort Yukon,Yukon-Koyukuk,Alaska,US,0,907
South Peninsula Behav Health Services,The Center3948 Ben Walters LaneHomer, AK 99603,99603,Homer,Kenai Peninsula,Alaska,US,America/Anchorage,907
Juneau Alliance for Mental Health Inc,3406-A Glacier HighwayJuneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
Juneau Youth Services Inc,Cornerstone House9290 Hurlock AvenueJuneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
Community Connections,1800 CK HighwaySuite 241Craig, AK 99921,99921,Craig,Prince of Wales-Hyder,Alaska,US,America/Juneau,907
Bristol Bay Area Health Corporation,6000 Kanakanak RoadDillingham, AK 99576,99576,Dillingham,Dillingham,Alaska,US,0,907
Fairbanks Community Mental,Health Services3830 Cushman StreetFairbanks, AK 99701,99701,Fairbanks,Fairbanks North Star,Alaska,US,America/Anchorage,907
Fairbanks Memorial Hospital,Behavioral Health1650 Cowles StreetFairbanks, AK 99701,99701,Fairbanks,Fairbanks North Star,Alaska,US,America/Anchorage,907
Juneau Youth Services Inc,Light House8460 Rainbow RowJuneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
Juneau Youth Services Inc,Miller House10685 Mendenhall Loop RoadJuneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
Juneau Youth Services Inc,Montana Creek10801 Black Bear RoadJuneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
Juneau Youth Services Inc,Montana Creek2075 Jordan AvenueSuite 101Juneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
Juneau Youth Services Inc,Wallington House2461 Oday DriveJuneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
National Council on Alc and Drug Dep,211 4th StreetSuite 102Juneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
SE Alaska Regional Health Consortium,Juneau Behavioral Health1046 Salmon Creek LaneJuneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
Salmon Creek Lodge,3406 Glacier HighwayBuilding DJuneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
Timberline House,1962 Lemon Creek RoadJuneau, AK 99801,99801,Juneau,Juneau,Alaska,US,America/Juneau,907
Kenai Peninsula Community Care Center,Dimmick Retreat320 South Spruce StreetKenai, AK 99611,99611,Kenai,Kenai Peninsula,Alaska,US,America/Anchorage,907
Kenai Peninsula Community Care Center,Hardy House320 South Spruce StreetKenai, AK 99611,99611,Kenai,Kenai Peninsula,Alaska,US,America/Anchorage,907
Kenai VA CBOC,11312 Kenai Spur HighwaySuite 39Kenai, AK 99611,99611,Kenai,Kenai Peninsula,Alaska,US,America/Anchorage,907
Kenaitze Indian Tribe,Denaina Wellness Center508 Upland StreetKenai, AK 99611,99611,Kenai,Kenai Peninsula,Alaska,US,America/Anchorage,907
Akeela Gateway Ctr for Human Services,3050 5th AvenueKetchikan, AK 99901,99901,Ketchikan,Ketchikan Gateway,Alaska,US,America/Juneau,907
Community Connections,721 Stedman StreetKetchikan, AK 99901,99901,Ketchikan,Ketchikan Gateway,Alaska,US,America/Juneau,907
Gateway Center for Human Services,Akeela Inc3050 Fifth AvenueKetchikan, AK 99901,99901,Ketchikan,Ketchikan Gateway,Alaska,US,America/Juneau,907
PeaceHealth Ketchikan Medical Center,3100 Tongass AvenueKetchikan, AK 99901,99901,Ketchikan,Ketchikan Gateway,Alaska,US,America/Juneau,907
King Cove CHC,100 Slocum DriveKing Cove, AK 99612,99612,King Cove,Aleutians East,Alaska,US,0,907
Kodiak Area Native Association,3449 East Rezenoff DriveKodiak, AK 99615,99615,Kodiak,Kodiak Island,Alaska,US,America/Anchorage,907
