State,Type,County,,Motivation,Crime Count
Arizona,Cities,Mesa,,Gender,0
Arizona,Cities,Mesa,,Gender Identity,1
Arizona,Cities,Mesa,,1st Quarter,2
Arizona,Cities,Mesa,,2nd Quarter,3
Arizona,Cities,Mesa,,3rd Quarter,5
Arizona,Cities,Mesa,,4th Quarter,0
Arizona,Cities,Page,,Ancestry,1
Arizona,Cities,Page,,Religion,0
Arizona,Cities,Page,,Sexual orientation,0
Arizona,Cities,Page,,Disability,0
Arizona,Cities,Page,,Gender,0
Arizona,Cities,Page,,Gender Identity,0
Arizona,Cities,Page,,1st Quarter,0
Arizona,Cities,Page,,2nd Quarter,1
Arizona,Cities,Page,,3rd Quarter,0
Arizona,Cities,Page,,4th Quarter,0
Arizona,Cities,Payson,,Ancestry,1
Arizona,Cities,Payson,,Religion,0
Arizona,Cities,Payson,,Sexual orientation,0
Arizona,Cities,Payson,,Disability,0
Arizona,Cities,Payson,,Gender,0
Arizona,Cities,Payson,,Gender Identity,0
Arizona,Cities,Payson,,1st Quarter,0
Arizona,Cities,Payson,,2nd Quarter,1
Arizona,Cities,Payson,,3rd Quarter,0
Arizona,Cities,Payson,,4th Quarter,0
Arizona,Cities,Peoria,,Ancestry,2
Arizona,Cities,Peoria,,Religion,0
Arizona,Cities,Peoria,,Sexual orientation,0
Arizona,Cities,Peoria,,Disability,0
Arizona,Cities,Peoria,,Gender,0
Arizona,Cities,Peoria,,Gender Identity,0
Arizona,Cities,Peoria,,1st Quarter,0
Arizona,Cities,Peoria,,2nd Quarter,1
Arizona,Cities,Peoria,,3rd Quarter,0
Arizona,Cities,Peoria,,4th Quarter,1
Arizona,Cities,Phoenix2,,Ancestry,140
Arizona,Cities,Phoenix2,,Religion,17
Arizona,Cities,Phoenix2,,Sexual orientation,28
Arizona,Cities,Phoenix2,,Disability,0
Arizona,Cities,Phoenix2,,Gender,1
Arizona,Cities,Phoenix2,,Gender Identity,3
Arizona,Cities,Phoenix2,,1st Quarter,24
Arizona,Cities,Phoenix2,,2nd Quarter,47
Arizona,Cities,Phoenix2,,3rd Quarter,65
Arizona,Cities,Phoenix2,,4th Quarter,51
Arizona,Cities,Prescott,,Ancestry,1
Arizona,Cities,Prescott,,Religion,0
Arizona,Cities,Prescott,,Sexual orientation,0
Arizona,Cities,Prescott,,Disability,0
Arizona,Cities,Prescott,,Gender,0
Arizona,Cities,Prescott,,Gender Identity,0
Arizona,Cities,Prescott,,1st Quarter,0
Arizona,Cities,Prescott,,2nd Quarter,0
Arizona,Cities,Prescott,,3rd Quarter,1
Arizona,Cities,Prescott,,4th Quarter,0
Arizona,Cities,San Luis,,Ancestry,0
Arizona,Cities,San Luis,,Religion,1
Arizona,Cities,San Luis,,Sexual orientation,0
Arizona,Cities,San Luis,,Disability,0
Arizona,Cities,San Luis,,Gender,0
Arizona,Cities,San Luis,,Gender Identity,1
Arizona,Cities,San Luis,,1st Quarter,1
Arizona,Cities,San Luis,,2nd Quarter,0
Arizona,Cities,San Luis,,3rd Quarter,0
Arizona,Cities,San Luis,,4th Quarter,1
Arizona,Cities,Scottsdale,,Ancestry,1
Arizona,Cities,Scottsdale,,Religion,1
Arizona,Cities,Scottsdale,,Sexual orientation,0
Arizona,Cities,Scottsdale,,Disability,0
Arizona,Cities,Scottsdale,,Gender,0
Arizona,Cities,Scottsdale,,Gender Identity,0
Arizona,Cities,Scottsdale,,1st Quarter,0
Arizona,Cities,Scottsdale,,2nd Quarter,0
Arizona,Cities,Scottsdale,,3rd Quarter,0
Arizona,Cities,Scottsdale,,4th Quarter,2
Arizona,Cities,Sierra Vista,,Ancestry,0
Arizona,Cities,Sierra Vista,,Religion,0
Arizona,Cities,Sierra Vista,,Sexual orientation,0
Arizona,Cities,Sierra Vista,,Disability,0
Arizona,Cities,Sierra Vista,,Gender,0
Arizona,Cities,Sierra Vista,,Gender Identity,1
Arizona,Cities,Sierra Vista,,1st Quarter,0
Arizona,Cities,Sierra Vista,,2nd Quarter,0
Arizona,Cities,Sierra Vista,,3rd Quarter,0
Arizona,Cities,Sierra Vista,,4th Quarter,1
Arizona,Cities,Somerton,,Ancestry,0
Arizona,Cities,Somerton,,Religion,1
Arizona,Cities,Somerton,,Sexual orientation,0
Arizona,Cities,Somerton,,Disability,0
Arizona,Cities,Somerton,,Gender,0
Arizona,Cities,Somerton,,Gender Identity,0
Arizona,Cities,Somerton,,1st Quarter,1
Arizona,Cities,Somerton,,2nd Quarter,0
Arizona,Cities,Somerton,,3rd Quarter,0
Arizona,Cities,Somerton,,4th Quarter,0
Arizona,Cities,Surprise,,Ancestry,3
Arizona,Cities,Surprise,,Religion,0
Arizona,Cities,Surprise,,Sexual orientation,0
Arizona,Cities,Surprise,,Disability,0
Arizona,Cities,Surprise,,Gender,0
Arizona,Cities,Surprise,,Gender Identity,0
Arizona,Cities,Surprise,,1st Quarter,0
Arizona,Cities,Surprise,,2nd Quarter,1
Arizona,Cities,Surprise,,3rd Quarter,1
Arizona,Cities,Surprise,,4th Quarter,1
Arizona,Cities,Tempe,,Ancestry,3
Arizona,Cities,Tempe,,Religion,0
Arizona,Cities,Tempe,,Sexual orientation,0
Arizona,Cities,Tempe,,Disability,0
Arizona,Cities,Tempe,,Gender,0
Arizona,Cities,Tempe,,Gender Identity,0
Arizona,Cities,Tempe,,1st Quarter,0
Arizona,Cities,Tempe,,2nd Quarter,2
Arizona,Cities,Tempe,,3rd Quarter,1
Arizona,Cities,Tempe,,4th Quarter, 
Arizona,Cities,Williams,,Ancestry,1
Arizona,Cities,Williams,,Religion,0
Arizona,Cities,Williams,,Sexual orientation,0
Arizona,Cities,Williams,,Disability,0
Arizona,Cities,Williams,,Gender,0
Arizona,Cities,Williams,,Gender Identity,0
Arizona,Cities,Williams,,1st Quarter, 
Arizona,Cities,Williams,,2nd Quarter, 
Arizona,Cities,Williams,,3rd Quarter,1
Arizona,Cities,Williams,,4th Quarter,0
Arizona,Cities,Yuma,,Ancestry,4
Arizona,Cities,Yuma,,Religion,3
Arizona,Cities,Yuma,,Sexual orientation,0
Arizona,Cities,Yuma,,Disability,1
Arizona,Cities,Yuma,,Gender,0
Arizona,Cities,Yuma,,Gender Identity,0
Arizona,Cities,Yuma,,1st Quarter,1
Arizona,Cities,Yuma,,2nd Quarter,5
Arizona,Cities,Yuma,,3rd Quarter,1
Arizona,Cities,Yuma,,4th Quarter,1
Arizona,Metropolitan Counties,Coconino,,Ancestry,1
Arizona,Metropolitan Counties,Coconino,,Religion,0
Arizona,Metropolitan Counties,Coconino,,Sexual orientation,0
Arizona,Metropolitan Counties,Coconino,,Disability,0
Arizona,Metropolitan Counties,Coconino,,Gender,0
Arizona,Metropolitan Counties,Coconino,,Gender Identity,0
Arizona,Metropolitan Counties,Coconino,,1st Quarter,0
Arizona,Metropolitan Counties,Coconino,,2nd Quarter,0
Arizona,Metropolitan Counties,Coconino,,3rd Quarter,1
Arizona,Metropolitan Counties,Coconino,,4th Quarter,0
Arizona,Metropolitan Counties,Pima2,,Ancestry,20
Arizona,Metropolitan Counties,Pima2,,Religion,4
Arizona,Metropolitan Counties,Pima2,,Sexual orientation,2
Arizona,Metropolitan Counties,Pima2,,Disability,0
Arizona,Metropolitan Counties,Pima2,,Gender,0
Arizona,Metropolitan Counties,Pima2,,Gender Identity,1
Arizona,Metropolitan Counties,Pima2,,1st Quarter,2
Arizona,Metropolitan Counties,Pima2,,2nd Quarter,6
Arizona,Metropolitan Counties,Pima2,,3rd Quarter,6
Arizona,Metropolitan Counties,Pima2,,4th Quarter,12
Arizona,Metropolitan Counties,Yavapai,,Ancestry,2
Arizona,Metropolitan Counties,Yavapai,,Religion,1
Arizona,Metropolitan Counties,Yavapai,,Sexual orientation,0
Arizona,Metropolitan Counties,Yavapai,,Disability,0
Arizona,Metropolitan Counties,Yavapai,,Gender,0
Arizona,Metropolitan Counties,Yavapai,,Gender Identity,0
Arizona,Metropolitan Counties,Yavapai,,1st Quarter,2
Arizona,Metropolitan Counties,Yavapai,,2nd Quarter,1
Arizona,Metropolitan Counties,Yavapai,,3rd Quarter,0
Arizona,Metropolitan Counties,Yavapai,,4th Quarter, 
Arizona,Metropolitan Counties,Yuma,,Ancestry,1
Arizona,Metropolitan Counties,Yuma,,Religion,2
Arizona,Metropolitan Counties,Yuma,,Sexual orientation,0
Arizona,Metropolitan Counties,Yuma,,Disability,1
Arizona,Metropolitan Counties,Yuma,,Gender,0
Arizona,Metropolitan Counties,Yuma,,Gender Identity,0
Arizona,Metropolitan Counties,Yuma,,1st Quarter,1
Arizona,Metropolitan Counties,Yuma,,2nd Quarter,1
Arizona,Metropolitan Counties,Yuma,,3rd Quarter,1
Arizona,Metropolitan Counties,Yuma,,4th Quarter,1
Arkansas,Cities,Conway,,Ancestry,1
Arkansas,Cities,Conway,,Religion,1
Arkansas,Cities,Conway,,Sexual orientation,0
Arkansas,Cities,Conway,,Disability,0
Arkansas,Cities,Conway,,Gender,0
Arkansas,Cities,Conway,,Gender Identity,0
Arkansas,Cities,Conway,,1st Quarter,0
Arkansas,Cities,Conway,,2nd Quarter,2
Arkansas,Cities,Conway,,3rd Quarter,0
Arkansas,Cities,Conway,,4th Quarter,0
Arkansas,Cities,Fort Smith,,Ancestry,5
Arkansas,Cities,Fort Smith,,Religion,0
Arkansas,Cities,Fort Smith,,Sexual orientation,1
Arkansas,Cities,Fort Smith,,Disability,0
Arkansas,Cities,Fort Smith,,Gender,0
Arkansas,Cities,Fort Smith,,Gender Identity,0
Arkansas,Cities,Fort Smith,,1st Quarter,1
Arkansas,Cities,Fort Smith,,2nd Quarter,4
Arkansas,Cities,Fort Smith,,3rd Quarter,0
Arkansas,Cities,Fort Smith,,4th Quarter,1
Arkansas,Cities,Paragould,,Ancestry,1
Arkansas,Cities,Paragould,,Religion,0
Arkansas,Cities,Paragould,,Sexual orientation,1
Arkansas,Cities,Paragould,,Disability,0
Arkansas,Cities,Paragould,,Gender,0
Arkansas,Cities,Paragould,,Gender Identity,0
Arkansas,Cities,Paragould,,1st Quarter,1
Arkansas,Cities,Paragould,,2nd Quarter,0
Arkansas,Cities,Paragould,,3rd Quarter,0
Arkansas,Cities,Paragould,,4th Quarter,1
Arkansas,Cities,Rogers,,Ancestry,4
Arkansas,Cities,Rogers,,Religion,0
Arkansas,Cities,Rogers,,Sexual orientation,1
Arkansas,Cities,Rogers,,Disability,0
Arkansas,Cities,Rogers,,Gender,0
Arkansas,Cities,Rogers,,Gender Identity,0
Arkansas,Cities,Rogers,,1st Quarter,0
Arkansas,Cities,Rogers,,2nd Quarter,1
Arkansas,Cities,Rogers,,3rd Quarter,4
Arkansas,Cities,Rogers,,4th Quarter,0
Arkansas,Cities,Sherwood,,Ancestry,1
Arkansas,Cities,Sherwood,,Religion,0
Arkansas,Cities,Sherwood,,Sexual orientation,0
Arkansas,Cities,Sherwood,,Disability,0
Arkansas,Cities,Sherwood,,Gender,0
Arkansas,Cities,Sherwood,,Gender Identity,0
Arkansas,Cities,Sherwood,,1st Quarter,0
Arkansas,Cities,Sherwood,,2nd Quarter,0
Arkansas,Cities,Sherwood,,3rd Quarter,1
Arkansas,Cities,Sherwood,,4th Quarter,0
Arkansas,Cities,Van Buren,,Ancestry,0
Arkansas,Cities,Van Buren,,Religion,0
Arkansas,Cities,Van Buren,,Sexual orientation,1
Arkansas,Cities,Van Buren,,Disability,0
Arkansas,Cities,Van Buren,,Gender,0
Arkansas,Cities,Van Buren,,Gender Identity,0
Arkansas,Cities,Van Buren,,1st Quarter,0
Arkansas,Cities,Van Buren,,2nd Quarter,0
Arkansas,Cities,Van Buren,,3rd Quarter,0
Arkansas,Cities,Van Buren,,4th Quarter,1
Arkansas,Universities and Colleges,University of Arkansas,,Ancestry,1
Arkansas,Universities and Colleges,University of Arkansas,,Religion,0
Arkansas,Universities and Colleges,University of Arkansas,,Sexual orientation,0
Arkansas,Universities and Colleges,University of Arkansas,,Disability,0
Arkansas,Universities and Colleges,University of Arkansas,,Gender,0
Arkansas,Universities and Colleges,University of Arkansas,,Gender Identity,0
Arkansas,Universities and Colleges,University of Arkansas,,1st Quarter,0
Arkansas,Universities and Colleges,University of Arkansas,,2nd Quarter,1
Arkansas,Universities and Colleges,University of Arkansas,,3rd Quarter,0
Arkansas,Universities and Colleges,University of Arkansas,,4th Quarter,0
Arkansas,Metropolitan Counties,Sebastian,,Ancestry,0
Arkansas,Metropolitan Counties,Sebastian,,Religion,1
Arkansas,Metropolitan Counties,Sebastian,,Sexual orientation,0
Arkansas,Metropolitan Counties,Sebastian,,Disability,0
Arkansas,Metropolitan Counties,Sebastian,,Gender,0
Arkansas,Metropolitan Counties,Sebastian,,Gender Identity,0
Arkansas,Metropolitan Counties,Sebastian,,1st Quarter,0
Arkansas,Metropolitan Counties,Sebastian,,2nd Quarter,1
Arkansas,Metropolitan Counties,Sebastian,,3rd Quarter,0
Arkansas,Metropolitan Counties,Sebastian,,4th Quarter,0
California,Cities,Alameda,,Ancestry,5
California,Cities,Alameda,,Religion,0
California,Cities,Alameda,,Sexual orientation,0
California,Cities,Alameda,,Disability,0
California,Cities,Alameda,,Gender,0
California,Cities,Alameda,,Gender Identity,0
California,Cities,Alameda,,1st Quarter,0
California,Cities,Alameda,,2nd Quarter,0
